age,schl,mar,sex,dis,esp,cit,mig,mil,anc,nativity,dear,deye,drem,pincp,esr,fer,race,pubcov
19,18.0,5,2,2,,1,3.0,4.0,1,1,2,2,2.0,-1500.0,6.0,2.0,1,1
18,18.0,5,2,2,,1,3.0,4.0,1,1,2,2,2.0,1600.0,6.0,2.0,2,1
53,17.0,5,1,1,,1,1.0,4.0,2,1,2,2,1.0,10000.0,6.0,,1,0
28,19.0,5,1,2,,1,1.0,2.0,1,1,2,2,2.0,0.0,6.0,,1,0
25,12.0,5,2,1,,1,3.0,4.0,1,1,2,2,1.0,0.0,6.0,2.0,1,1
30,16.0,5,2,1,,1,1.0,4.0,4,1,2,2,1.0,0.0,6.0,2.0,1,1
38,12.0,5,1,1,,1,1.0,4.0,4,1,1,2,2.0,0.0,6.0,,1,0
41,16.0,5,1,2,,1,1.0,4.0,4,1,2,2,2.0,24000.0,1.0,,1,1
18,18.0,5,2,2,,1,3.0,4.0,2,1,2,2,2.0,180.0,6.0,2.0,1,1
57,19.0,4,1,1,,4,3.0,2.0,1,2,1,2,1.0,1400.0,6.0,,8,0
21,19.0,5,1,2,,1,1.0,1.0,2,1,2,2,2.0,29000.0,4.0,,1,1
60,16.0,5,1,1,,1,1.0,4.0,2,1,2,2,1.0,12900.0,6.0,,2,1
41,14.0,3,1,2,,1,1.0,4.0,1,1,2,2,2.0,0.0,6.0,,1,0
37,16.0,4,1,2,,1,3.0,4.0,1,1,2,2,2.0,24100.0,6.0,,2,0
19,19.0,5,2,2,,1,3.0,4.0,1,1,2,2,2.0,4500.0,1.0,2.0,1,1
63,19.0,3,2,1,,1,1.0,4.0,1,1,2,2,1.0,12000.0,6.0,,1,1
63,16.0,5,2,1,,1,1.0,4.0,1,1,1,2,1.0,9000.0,6.0,,2,1
18,18.0,5,2,2,,1,3.0,4.0,1,1,2,2,2.0,5700.0,6.0,2.0,1,1
18,18.0,5,2,2,,1,3.0,4.0,1,1,2,2,2.0,970.0,6.0,2.0,1,1
39,16.0,5,1,1,,1,1.0,4.0,1,1,2,2,1.0,11200.0,6.0,,1,1
34,17.0,5,1,2,,4,1.0,4.0,1,2,2,2,2.0,480.0,6.0,,2,1
20,18.0,5,1,2,,1,3.0,4.0,1,1,2,2,2.0,17000.0,1.0,,1,1
