race,sex,sl,yc,h_cm,hw_k,es,y
W,F,N,N,152.2,202.1,81.0,0
B,M,N,Y,198.2,117.1,87.7,1
A,M,Y,Y,190.7,349.8,90.0,1
A,M,Y,Y,171.4,287.6,81.4,0
A,M,Y,Y,189.7,327.3,86.5,1
A,F,Y,N,157.6,337.8,89.7,1
A,M,Y,Y,184.1,326.4,84.7,0
A,M,Y,Y,174.8,321.0,87.1,1
A,M,Y,Y,187.8,322.5,84.0,0
B,M,N,Y,194.0,70.1,85.7,1
W,F,N,N,167.3,129.3,80.8,0
A,F,Y,N,157.6,335.9,89.2,1
B,F,N,N,166.7,73.0,89.4,1
B,M,N,Y,176.7,50.6,85.5,1
W,F,N,N,153.8,127.2,82.9,0
W,F,N,N,165.6,231.5,81.0,0
W,M,N,Y,185.8,191.0,89.9,1
A,F,Y,N,150.1,322.4,83.3,0
W,M,N,Y,183.4,185.5,82.6,0
W,F,N,N,151.4,153.3,83.7,0
W,F,N,N,154.5,237.1,83.1,0
A,F,Y,N,167.0,317.8,84.4,0
W,M,N,Y,193.0,206.0,81.1,0
B,F,N,N,151.2,111.4,82.3,0
A,F,Y,N,155.5,335.4,85.7,1
B,F,N,N,160.1,85.9,84.1,0
B,M,N,Y,195.0,83.8,82.6,0
A,F,Y,N,167.5,289.1,86.2,1
A,F,Y,N,161.3,321.0,89.9,1
B,F,N,N,153.5,80.4,85.8,1
W,F,N,N,168.1,261.2,89.2,1
B,M,N,Y,172.6,52.8,89.9,1
W,F,N,N,167.9,126.5,82.1,0
A,F,Y,N,154.7,336.8,85.6,1
B,M,N,Y,197.3,124.2,88.2,1
W,F,N,N,166.6,179.9,82.6,0
B,F,N,N,160.5,56.2,81.6,0
A,M,Y,Y,180.3,301.9,80.3,0
A,M,Y,Y,176.1,316.9,82.2,0
W,M,N,Y,173.2,235.5,81.2,0
B,F,N,N,162.9,95.7,81.7,0
W,M,N,Y,169.0,193.5,80.2,0
B,M,N,Y,199.0,66.5,80.8,0
A,M,Y,Y,180.3,348.5,88.2,1
W,M,N,Y,186.8,270.3,84.4,0
W,F,N,N,155.2,274.7,83.7,0
A,F,Y,N,163.0,337.0,85.9,1
B,F,N,N,162.6,111.1,87.5,1
B,F,N,N,155.8,71.2,87.6,1
W,M,N,Y,198.5,192.8,86.0,1
W,F,N,N,159.7,229.5,81.6,0
B,M,N,Y,191.8,61.8,89.2,1
B,M,N,Y,195.7,103.9,81.4,0
A,F,Y,N,151.1,347.1,80.7,0
A,F,Y,N,163.8,278.3,83.3,0
A,F,Y,N,166.9,346.6,87.7,1
B,M,N,Y,182.8,73.5,86.7,1
B,F,N,N,156.2,103.0,82.0,0
W,M,N,Y,191.6,198.9,85.0,1
A,M,Y,Y,169.8,301.5,84.6,0
B,F,N,N,152.5,97.7,81.6,0
B,F,N,N,150.1,91.5,80.8,0
W,F,N,N,158.5,139.8,83.6,0
B,F,N,N,167.9,75.1,82.0,0
B,M,N,Y,174.0,113.6,86.7,1
W,F,N,N,163.2,238.0,81.2,0
A,M,Y,Y,191.6,339.6,89.8,1
B,M,N,Y,187.3,116.4,85.9,1
A,M,Y,Y,168.4,308.8,85.9,1
A,F,Y,N,167.3,304.2,89.7,1
A,M,Y,Y,194.1,286.2,81.8,0
W,M,N,Y,169.0,204.2,83.1,0
W,M,N,Y,172.9,251.5,88.3,1
W,F,N,N,151.3,217.8,89.5,1
B,M,N,Y,187.8,87.5,84.5,0
W,F,N,N,151.5,198.1,83.0,0
W,M,N,Y,178.5,214.7,85.5,1
A,F,Y,N,163.4,324.7,85.4,1
W,F,N,N,150.9,230.3,87.2,1
A,M,Y,Y,185.2,319.7,83.5,0
A,F,Y,N,160.2,288.7,81.0,0
A,M,Y,Y,193.1,309.5,81.2,0
W,M,N,Y,188.4,234.7,88.3,1
W,M,N,Y,174.9,199.4,88.3,1
W,F,N,N,167.2,162.6,83.4,0
A,F,Y,N,164.0,279.9,84.5,0
W,M,N,Y,168.8,212.7,81.6,0
W,F,N,N,162.7,201.4,84.0,0
B,M,N,Y,177.3,69.4,89.0,1
W,M,N,Y,198.3,258.5,80.1,0
B,F,N,N,160.0,60.6,80.4,0
W,M,N,Y,170.0,187.2,80.7,0
A,F,Y,N,153.4,312.3,86.6,1
W,F,N,N,153.6,142.7,89.8,1
W,F,N,N,162.7,139.5,89.8,1
W,M,N,Y,188.9,270.0,87.5,1
W,F,N,N,168.1,194.4,81.4,0
W,M,N,Y,181.1,166.8,81.2,0
W,M,N,Y,184.4,227.3,86.9,1
B,F,N,N,167.9,96.2,81.6,0
W,M,N,Y,184.4,125.8,80.4,0
W,M,N,Y,177.3,266.1,89.3,1
A,M,Y,Y,187.7,283.6,88.5,1
B,M,N,Y,191.1,63.8,82.7,0
B,M,N,Y,171.3,79.2,87.8,1
B,M,N,Y,193.3,95.3,82.5,0
W,M,N,Y,175.3,272.6,82.3,0
B,F,N,N,167.0,115.3,88.3,1
A,M,Y,Y,183.5,317.2,84.4,0
A,F,Y,N,166.8,334.4,80.5,0
W,F,N,N,160.8,181.6,84.7,0
B,F,N,N,152.5,100.7,87.8,1
A,F,Y,N,154.8,325.0,80.2,0
B,F,N,N,156.6,99.2,80.4,0
W,M,N,Y,169.8,234.4,80.5,0
A,F,Y,N,162.8,308.9,88.0,1
W,F,N,N,166.0,205.0,86.3,1
B,F,N,N,164.8,81.4,80.9,0
A,F,Y,N,168.2,311.8,88.2,1
W,M,N,Y,194.6,125.2,86.4,1
W,F,N,N,156.4,132.7,85.9,1
B,F,N,N,168.2,51.1,85.1,1
A,F,Y,N,163.8,343.8,88.6,1
B,F,N,N,165.6,124.3,88.7,1
W,M,N,Y,169.7,186.8,85.5,1
W,M,N,Y,183.3,251.8,81.7,0
A,M,Y,Y,190.5,303.2,87.6,1
W,F,N,N,167.8,198.5,86.0,1
W,F,N,N,156.1,201.0,86.1,1
B,F,N,N,151.2,70.0,87.3,1
B,M,N,Y,197.2,87.9,87.5,1
B,M,N,Y,173.7,119.5,89.5,1
B,M,N,Y,184.4,87.1,87.2,1
W,F,N,N,154.8,256.0,89.4,1
A,M,Y,Y,198.4,344.9,82.5,0
B,F,N,N,153.1,67.3,84.6,0
A,F,Y,N,155.6,319.4,87.3,1
A,F,Y,N,163.0,332.3,89.4,1
W,M,N,Y,169.4,211.0,89.9,1
W,F,N,N,168.1,137.1,82.4,0
B,M,N,Y,173.1,103.5,82.7,0
A,M,Y,Y,190.3,328.7,84.9,0
B,M,N,Y,175.9,107.2,82.2,0
B,M,N,Y,192.5,109.3,83.2,0
W,M,N,Y,175.9,256.0,84.4,0
B,M,N,Y,193.8,92.5,81.5,0
W,M,N,Y,189.7,126.5,82.5,0
A,M,Y,Y,168.3,336.2,88.5,1
A,M,Y,Y,176.5,310.7,89.0,1
W,F,N,N,159.4,143.3,85.5,1
B,M,N,Y,170.3,106.9,82.8,0
W,M,N,Y,178.7,253.1,87.9,1
W,M,N,Y,196.1,156.6,84.9,0
W,M,N,Y,173.9,188.7,80.2,0
W,F,N,N,154.4,240.6,86.2,1
B,F,N,N,157.3,61.9,84.6,0
B,F,N,N,160.4,114.3,80.1,0
A,F,Y,N,157.2,307.7,87.9,1
B,F,N,N,152.0,95.0,81.5,0
B,F,N,N,152.9,68.6,81.5,0
W,F,N,N,167.4,236.1,87.9,1
B,M,N,Y,195.3,60.8,86.6,1
B,M,N,Y,188.5,56.5,81.6,0
A,F,Y,N,163.2,344.9,81.8,0
W,F,N,N,158.1,254.1,82.2,0
A,F,Y,N,159.5,312.9,85.7,1
W,F,N,N,161.9,247.5,88.0,1
W,M,N,Y,177.3,226.6,87.1,1
W,M,N,Y,169.0,186.9,89.0,1
W,M,N,Y,198.9,143.3,80.8,0
B,F,N,N,156.0,80.9,80.4,0
W,F,N,N,160.0,200.2,84.9,0
A,F,Y,N,162.3,329.6,82.1,0
A,M,Y,Y,195.9,344.9,87.7,1
B,F,N,N,154.8,124.0,85.6,1
A,M,Y,Y,171.3,340.1,81.8,0
W,M,N,Y,192.1,180.2,87.4,1
A,F,Y,N,151.6,283.5,84.0,0
W,F,N,N,161.6,212.8,88.7,1
B,F,N,N,168.2,83.2,82.2,0
B,F,N,N,164.6,105.0,86.5,1
W,M,N,Y,175.7,234.0,81.2,0
A,M,Y,Y,182.5,284.2,85.3,1
W,M,N,Y,189.6,258.7,86.0,1
B,M,N,Y,173.9,60.5,89.4,1
A,M,Y,Y,196.6,302.0,84.1,0
B,M,N,Y,171.2,117.4,81.9,0
W,M,N,Y,199.5,153.8,85.0,1
A,M,Y,Y,195.1,282.6,87.7,1
W,F,N,N,151.0,139.5,86.6,1
W,M,N,Y,168.4,272.0,81.5,0
A,M,Y,Y,187.6,333.6,80.3,0
B,M,N,Y,176.0,83.4,87.3,1
A,F,Y,N,154.1,345.5,85.5,1
A,F,Y,N,153.1,339.0,86.5,1
B,M,N,Y,171.3,106.7,85.2,1
B,F,N,N,164.0,72.3,86.4,1
W,M,N,Y,190.8,205.6,89.7,1
A,M,Y,Y,184.9,333.7,81.9,0
W,F,N,N,161.8,128.2,85.9,1
A,F,Y,N,150.9,278.2,83.5,0
B,F,N,N,165.5,81.9,83.7,0
A,M,Y,Y,170.4,318.3,89.6,1
A,M,Y,Y,168.5,303.1,82.2,0
A,M,Y,Y,168.5,337.4,80.3,0
B,F,N,N,158.2,113.2,84.9,0
A,F,Y,N,158.9,329.3,84.3,0
B,F,N,N,160.3,117.7,88.7,1
A,M,Y,Y,191.6,297.0,82.0,0
B,F,N,N,152.3,80.2,85.0,1
A,M,Y,Y,194.6,312.1,87.0,1
W,F,N,N,150.5,252.8,88.8,1
W,M,N,Y,194.4,267.8,81.3,0
A,M,Y,Y,190.6,296.2,82.4,0
W,M,N,Y,195.0,139.9,80.4,0
B,F,N,N,156.5,111.8,80.4,0
A,M,Y,Y,185.1,292.9,84.9,0
W,M,N,Y,172.8,232.5,82.2,0
A,F,Y,N,161.5,290.4,87.3,1
W,F,N,N,158.7,180.9,88.8,1
B,M,N,Y,181.1,110.4,86.6,1
A,M,Y,Y,173.6,344.3,87.1,1
A,M,Y,Y,180.8,283.5,85.6,1
B,F,N,N,153.0,97.5,84.9,0
B,F,N,N,160.3,113.8,82.1,0
A,F,Y,N,151.7,337.2,87.8,1
W,F,N,N,165.4,194.2,86.1,1
B,M,N,Y,181.8,69.8,82.1,0
A,F,Y,N,157.3,310.0,89.3,1
A,M,Y,Y,177.5,294.6,86.2,1
W,F,N,N,160.3,131.4,87.1,1
A,M,Y,Y,192.5,346.6,87.7,1
W,M,N,Y,185.7,141.3,88.2,1
W,M,N,Y,193.9,127.3,84.1,0
A,M,Y,Y,195.6,294.6,87.1,1
B,F,N,N,151.8,56.2,81.5,0
B,M,N,Y,199.8,111.8,81.5,0
W,M,N,Y,188.0,261.6,88.0,1
B,M,N,Y,184.1,119.5,89.5,1
B,M,N,Y,173.5,82.1,82.9,0
A,F,Y,N,153.2,313.0,85.1,1
A,F,Y,N,150.3,342.7,80.0,0
A,M,Y,Y,188.3,328.5,89.8,1
B,F,N,N,161.4,101.9,88.8,1
A,F,Y,N,164.6,340.6,88.2,1
W,M,N,Y,192.8,140.6,81.1,0
A,M,Y,Y,196.4,332.9,80.3,0
W,M,N,Y,188.2,272.8,83.9,0
W,M,N,Y,179.8,228.8,82.8,0
A,F,Y,N,159.1,311.0,83.9,0
B,F,N,N,166.9,69.9,86.9,1
A,F,Y,N,168.0,284.5,87.4,1
W,F,N,N,163.6,227.1,88.2,1
B,M,N,Y,175.8,99.6,84.8,0
A,M,Y,Y,184.3,303.8,89.8,1
W,F,N,N,152.5,165.6,89.6,1
B,M,N,Y,181.6,100.4,80.5,0
B,F,N,N,159.0,97.4,80.4,0
B,F,N,N,158.5,124.4,84.3,0
W,M,N,Y,183.5,257.4,86.1,1
W,M,N,Y,173.1,272.6,86.9,1
W,M,N,Y,178.8,215.1,89.2,1
A,F,Y,N,163.7,304.5,89.1,1
W,M,N,Y,175.2,212.5,86.5,1
B,F,N,N,160.4,113.4,88.9,1
W,F,N,N,166.7,165.5,80.3,0
B,M,N,Y,174.3,88.6,81.4,0
A,F,Y,N,153.1,345.0,83.7,0
W,F,N,N,152.7,219.0,82.5,0
